Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level
"['AVGO', 'NVDA', 'TSLA', 'QCOM', 'MRNA', 'SBUX', 'ADSK', 'FISV', 'CRWD', 'PLTR']",5,"(2018, 1, 1)","(2018, 3, 1)",59,1000000,0.5,0.95
"['AVGO', 'NVDA', 'TSLA', 'QCOM', 'MRNA', 'SBUX', 'ADSK', 'FISV', 'CRWD', 'PLTR']",5,"(2018, 1, 1)","(2018, 6, 1)",151,1000000,0.5,0.95
"['AVGO', 'NVDA', 'TSLA', 'QCOM', 'MRNA', 'SBUX', 'ADSK', 'FISV', 'CRWD', 'PLTR']",5,"(2018, 1, 1)","(2018, 9, 1)",243,1000000,0.5,0.95
"['AVGO', 'NVDA', 'TSLA', 'QCOM', 'MRNA', 'SBUX', 'ADSK', 'FISV', 'CRWD', 'PLTR']",5,"(2018, 1, 1)","(2019, 1, 1)",365,1000000,0.5,0.95
"['AVGO', 'NVDA', 'TSLA', 'QCOM', 'MRNA', 'SBUX', 'ADSK', 'FISV', 'CRWD', 'PLTR']",5,"(2018, 1, 1)","(2019, 6, 1)",516,1000000,0.5,0.95
"['AVGO', 'NVDA', 'TSLA', 'QCOM', 'MRNA', 'SBUX', 'ADSK', 'FISV', 'CRWD', 'PLTR']",5,"(2018, 1, 1)","(2020, 1, 1)",730,1000000,0.5,0.95
"['AVGO', 'NVDA', 'TSLA', 'QCOM', 'MRNA', 'SBUX', 'ADSK', 'FISV', 'CRWD', 'PLTR']",5,"(2018, 1, 1)","(2021, 1, 1)",1096,1000000,0.5,0.95
"['AVGO', 'NVDA', 'TSLA', 'QCOM', 'MRNA', 'SBUX', 'ADSK', 'FISV', 'CRWD', 'PLTR']",5,"(2018, 1, 1)","(2022, 1, 1)",1461,1000000,0.5,0.95
"['AMZN', 'META', 'NFLX', 'LRCX', 'WDAY', 'SNOW', 'TWLO', 'U', 'DUOL', 'RDFN']",5,"(2018, 1, 1)","(2018, 3, 1)",59,1000000,0.5,0.95
"['AMZN', 'META', 'NFLX', 'LRCX', 'WDAY', 'SNOW', 'TWLO', 'U', 'DUOL', 'RDFN']",5,"(2018, 1, 1)","(2018, 6, 1)",151,1000000,0.5,0.95
"['AMZN', 'META', 'NFLX', 'LRCX', 'WDAY', 'SNOW', 'TWLO', 'U', 'DUOL', 'RDFN']",5,"(2018, 1, 1)","(2018, 9, 1)",243,1000000,0.5,0.95
"['AMZN', 'META', 'NFLX', 'LRCX', 'WDAY', 'SNOW', 'TWLO', 'U', 'DUOL', 'RDFN']",5,"(2018, 1, 1)","(2019, 1, 1)",365,1000000,0.5,0.95
"['AMZN', 'META', 'NFLX', 'LRCX', 'WDAY', 'SNOW', 'TWLO', 'U', 'DUOL', 'RDFN']",5,"(2018, 1, 1)","(2019, 6, 1)",516,1000000,0.5,0.95
"['AMZN', 'META', 'NFLX', 'LRCX', 'WDAY', 'SNOW', 'TWLO', 'U', 'DUOL', 'RDFN']",5,"(2018, 1, 1)","(2020, 1, 1)",730,1000000,0.5,0.95
"['AMZN', 'META', 'NFLX', 'LRCX', 'WDAY', 'SNOW', 'TWLO', 'U', 'DUOL', 'RDFN']",5,"(2018, 1, 1)","(2021, 1, 1)",1096,1000000,0.5,0.95
"['AMZN', 'META', 'NFLX', 'LRCX', 'WDAY', 'SNOW', 'TWLO', 'U', 'DUOL', 'RDFN']",5,"(2018, 1, 1)","(2022, 1, 1)",1461,1000000,0.5,0.95
"['AAPL', 'GOOG', 'ASML', 'AMD', 'PYPL', 'BKNG', 'MRVL', 'ILMN', 'PDD', 'ROKU']",5,"(2018, 1, 1)","(2018, 3, 1)",59,1000000,0.5,0.95
"['AAPL', 'GOOG', 'ASML', 'AMD', 'PYPL', 'BKNG', 'MRVL', 'ILMN', 'PDD', 'ROKU']",5,"(2018, 1, 1)","(2018, 6, 1)",151,1000000,0.5,0.95
"['AAPL', 'GOOG', 'ASML', 'AMD', 'PYPL', 'BKNG', 'MRVL', 'ILMN', 'PDD', 'ROKU']",5,"(2018, 1, 1)","(2018, 9, 1)",243,1000000,0.5,0.95
"['AAPL', 'GOOG', 'ASML', 'AMD', 'PYPL', 'BKNG', 'MRVL', 'ILMN', 'PDD', 'ROKU']",5,"(2018, 1, 1)","(2019, 1, 1)",365,1000000,0.5,0.95
"['AAPL', 'GOOG', 'ASML', 'AMD', 'PYPL', 'BKNG', 'MRVL', 'ILMN', 'PDD', 'ROKU']",5,"(2018, 1, 1)","(2019, 6, 1)",516,1000000,0.5,0.95
"['AAPL', 'GOOG', 'ASML', 'AMD', 'PYPL', 'BKNG', 'MRVL', 'ILMN', 'PDD', 'ROKU']",5,"(2018, 1, 1)","(2020, 1, 1)",730,1000000,0.5,0.95
"['AAPL', 'GOOG', 'ASML', 'AMD', 'PYPL', 'BKNG', 'MRVL', 'ILMN', 'PDD', 'ROKU']",5,"(2018, 1, 1)","(2021, 1, 1)",1096,1000000,0.5,0.95
"['AAPL', 'GOOG', 'ASML', 'AMD', 'PYPL', 'BKNG', 'MRVL', 'ILMN', 'PDD', 'ROKU']",5,"(2018, 1, 1)","(2022, 1, 1)",1461,1000000,0.5,0.95
