Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 2, 1)",1127,1000000,0.5,0.95,"([0.2031009838670538, 0.024144561667282065, 0.17611591416090175, 0.09690343654341002, 0.4997351037613524],)","({'AAPL': 203100.98386705382, 'NVDA': 24144.561667282065, 'TSLA': 176115.91416090174, 'ASML': 96903.43654341002, 'COST': 499735.10376135237},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.21073271583148856, 0.011790119301695906, 0.08156733810020549, 0.17708009640834044, 0.5188297303582696],)","({'AAPL': 210732.71583148855, 'MSFT': 11790.119301695906, 'NVDA': 81567.33810020548, 'TSLA': 177080.09640834044, 'COST': 518829.73035826965},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'GOOG', 'NVDA', 'TSLA', 'ASML']","([0.4547839493004646, 0.03759894847068953, 0.1636040902182322, 0.2059403079674107, 0.13807270404320304],)","({'AAPL': 454783.9493004646, 'GOOG': 37598.94847068953, 'NVDA': 163604.0902182322, 'TSLA': 205940.30796741068, 'ASML': 138072.70404320303},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'GOOG': 336654.4725768124, 'NVDA': 174487.573483481, 'TSLA': 186813.27858492115, 'ASML': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 3, 1)",1155,1000000,0.5,0.95,"([0.1598166332352082, 0.07075592578949869, 0.15328901575675666, 0.004163250698259258, 0.6119751745202773],)","({'AAPL': 159816.6332352082, 'NVDA': 70755.92578949868, 'TSLA': 153289.01575675665, 'ASML': 4163.250698259258, 'COST': 611975.1745202773},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.1598166332352082, 0.07075592578949869, 0.15328901575675666, 0.004163250698259258, 0.6119751745202773],)","({'AAPL': 159816.6332352082, 'NVDA': 70755.92578949868, 'TSLA': 153289.01575675665, 'ASML': 4163.250698259258, 'COST': 611975.1745202773},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.1598166332352082, 0.07075592578949869, 0.15328901575675666, 0.004163250698259258, 0.6119751745202773],)","({'AAPL': 159816.6332352082, 'NVDA': 70755.92578949868, 'TSLA': 153289.01575675665, 'ASML': 4163.250698259258, 'COST': 611975.1745202773},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 4, 1)",1186,1000000,0.5,0.95,"([0.1598166332352082, 0.07075592578949869, 0.15328901575675666, 0.004163250698259258, 0.6119751745202773],)","({'AAPL': 159816.6332352082, 'NVDA': 70755.92578949868, 'TSLA': 153289.01575675665, 'ASML': 4163.250698259258, 'COST': 611975.1745202773},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.09895972058694684, 0.0031403931993279656, 0.12730959643638873, 0.17159952156901126, 0.5989907682083253],)","({'AAPL': 98959.72058694685, 'GOOG': 3140.3931993279657, 'NVDA': 127309.59643638873, 'TSLA': 171599.52156901127, 'COST': 598990.7682083253},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'GOOG', 'TSLA', 'ASML', 'COST']","([0.09895972058694684, 0.0031403931993279656, 0.12730959643638873, 0.17159952156901126, 0.5989907682083253],)","({'AAPL': 98959.72058694685, 'GOOG': 3140.3931993279657, 'NVDA': 127309.59643638873, 'TSLA': 171599.52156901127, 'COST': 598990.7682083253},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'GOOG': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 5, 1)",1216,1000000,0.5,0.95,"([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'NVDA': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'NVDA': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.6978660388218908, 0.015178306918259037, 0.003401066181196264, 0.2678565387699184, 0.01569804930873556],)","({'AAPL': 697866.0388218908, 'GOOG': 15178.306918259037, 'NVDA': 3401.066181196264, 'TSLA': 267856.5387699184, 'ASML': 15698.04930873556},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 6, 1)",1247,1000000,0.5,0.95,"([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'NVDA': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'NVDA': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'NVDA': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 7, 1)",1277,1000000,0.5,0.95,"([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'GOOG', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'GOOG': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'GOOG': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 8, 1)",1308,1000000,0.5,0.95,"([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'GOOG', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'GOOG': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 9, 1)",1339,1000000,0.5,0.95,"([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'META': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 10, 1)",1369,1000000,0.5,0.95,"([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.1496012606142526, 0.041569902314023466, 0.007777283885763738, 0.2655050226967187, 0.5355465304892415],)","({'AAPL': 149601.26061425262, 'MSFT': 41569.902314023464, 'NVDA': 7777.283885763738, 'TSLA': 265505.0226967187, 'COST': 535546.5304892415},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'GOOG': 174487.573483481, 'TSLA': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'GOOG': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2022, 11, 1)",1400,1000000,0.5,0.95,"([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'GOOG', 'TSLA', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'AAPL': 253923.2077716177, 'MSFT': 13523.329718074458, 'TSLA': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'GOOG': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
