Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal Stocks Selected by Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal Stocks Selected by QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal Stocks Selected by Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE
"['MSFT', 'PEP', 'NFLX', 'AAPL', 'AMGN', 'QCOM']",5,"(2018, 3, 7)","(2024, 2, 12)",2168,685176,0.5,0.95,"['MSFT', 'PEP', 'AAPL', 'AMGN', 'QCOM']","[0.19781977, 0.33665447, 0.17448757, 0.18681328, 0.10422491]","{'MSFT': 135541.35762343268, 'PEP': 230667.56490228997, 'AAPL': 119554.69764911759, 'AMGN': 127999.97496770193, 'QCOM': 71412.40485745796}","[0.4848808, 0.02184453, 0.47041588, 0.02069873, 0.00216007]","{'MSFT': 332228.685413716, 'PEP': 14967.34664701542, 'AAPL': 322317.67009318847, 'AMGN': 14182.269752181031, 'QCOM': 1480.0280938990861}","['MSFT', 'PEP', 'AAPL', 'AMGN', 'QCOM']","[0.19781977, 0.33665447, 0.17448757, 0.18681328, 0.10422491]","{'MSFT': 135541.35762343268, 'PEP': 230667.56490228997, 'AAPL': 119554.69764911759, 'AMGN': 127999.97496770193, 'QCOM': 71412.40485745796}","[0.4848808, 0.02184453, 0.47041588, 0.02069873, 0.00216007]","{'MSFT': 332228.685413716, 'PEP': 14967.34664701542, 'AAPL': 322317.67009318847, 'AMGN': 14182.269752181031, 'QCOM': 1480.0280938990861}","['MSFT', 'PEP', 'AAPL', 'AMGN', 'QCOM']","[0.19781977, 0.33665447, 0.17448757, 0.18681328, 0.10422491]","{'MSFT': 135541.35762343268, 'PEP': 230667.56490228997, 'NFLX': 119554.69764911759, 'AAPL': 127999.97496770193, 'AMGN': 71412.40485745796}","[0.4848808, 0.02184453, 0.47041588, 0.02069873, 0.00216007]","{'MSFT': 332228.685413716, 'PEP': 14967.34664701542, 'AAPL': 322317.67009318847, 'AMGN': 14182.269752181031, 'QCOM': 1480.0280938990861}"
"['AAPL', 'GOOG', 'NVDA', 'GOOGL']",3,"(2019, 5, 15)","(2024, 2, 6)",1728,3641068,0.5,0.95,"['AAPL', 'GOOG', 'NVDA']","[0.71308967, 0.03270916, 0.25420117]","{'AAPL': 2596407.9751190203, 'GOOG': 119096.28644506901, 'NVDA': 925563.7384359108}","[0.310277253, 0.000593536847, 0.689129211]","{'AAPL': 1129740.5752976825, 'GOOG': 2161.1080203469687, 'NVDA': 2509166.3166819704}","['AAPL', 'GOOG', 'NVDA']","[0.71308967, 0.03270916, 0.25420117]","{'AAPL': 2596407.9751190203, 'GOOG': 119096.28644506901, 'NVDA': 925563.7384359108}","[0.310277253, 0.000593536847, 0.689129211]","{'AAPL': 1129740.5752976825, 'GOOG': 2161.1080203469687, 'NVDA': 2509166.3166819704}","['AAPL', 'GOOG', 'NVDA']","[0.71308967, 0.03270916, 0.25420117]","{'AAPL': 2596407.9751190203, 'GOOG': 119096.28644506901, 'NVDA': 925563.7384359108}","[0.310277253, 0.000593536847, 0.689129211]","{'AAPL': 1129740.5752976825, 'GOOG': 2161.1080203469687, 'NVDA': 2509166.3166819704}"
"['NVDA', 'AMGN', 'PYPL', 'AMZN', 'QCOM', 'AAPL', 'NFLX', 'GOOGL', 'PEP', 'MSFT']",9,"(2020, 11, 23)","(2021, 10, 26)",337,4843711,0.5,0.95,"['NVDA', 'AMGN', 'PYPL', 'AMZN', 'AAPL', 'NFLX', 'GOOGL', 'PEP', 'MSFT']","[0.12457608, 0.18727213, 0.03387183, 0.00710104, 0.05395664, 0.19090444, 0.12304662, 0.06804115, 0.21123008]","{'NVDA': 603410.5240880131, 'AMGN': 907092.0521153623, 'PYPL': 164065.34031979158, 'AMZN': 34395.36927106506, 'AAPL': 261350.3841811855, 'NFLX': 924685.9594957815, 'GOOGL': 596002.266126315, 'PEP': 329571.64951395104, 'MSFT': 1023137.4548885353}","[0.11909929, 0.02740848, 0.04140941, 0.00547547, 0.04457794, 0.11637525, 0.25700565, 0.20251407, 0.18613444]","{'NVDA': 576882.557079625, 'AMGN': 132758.73755737153, 'PYPL': 200575.21661170418, 'AMZN': 26521.583641285502, 'AAPL': 215922.64794672205, 'NFLX': 563688.0999892436, 'GOOGL': 1244861.0972452355, 'PEP': 980919.6466385114, 'MSFT': 901581.4132903013}","['NVDA', 'AMGN', 'PYPL', 'AMZN', 'AAPL', 'NFLX', 'GOOGL', 'PEP', 'MSFT']","[0.12457608, 0.18727213, 0.03387183, 0.00710104, 0.05395664, 0.19090444, 0.12304662, 0.06804115, 0.21123008]","{'NVDA': 603410.5240880131, 'AMGN': 907092.0521153623, 'PYPL': 164065.34031979158, 'AMZN': 34395.36927106506, 'AAPL': 261350.3841811855, 'NFLX': 924685.9594957815, 'GOOGL': 596002.266126315, 'PEP': 329571.64951395104, 'MSFT': 1023137.4548885353}","[0.11909929, 0.02740848, 0.04140941, 0.00547547, 0.04457794, 0.11637525, 0.25700565, 0.20251407, 0.18613444]","{'NVDA': 576882.557079625, 'AMGN': 132758.73755737153, 'PYPL': 200575.21661170418, 'AMZN': 26521.583641285502, 'AAPL': 215922.64794672205, 'NFLX': 563688.0999892436, 'GOOGL': 1244861.0972452355, 'PEP': 980919.6466385114, 'MSFT': 901581.4132903013}","['NVDA', 'AMGN', 'PYPL', 'AMZN', 'AAPL', 'NFLX', 'GOOGL', 'PEP', 'MSFT']","[0.12457608, 0.18727213, 0.03387183, 0.00710104, 0.05395664, 0.19090444, 0.12304662, 0.06804115, 0.21123008]","{'NVDA': 603410.5240880131, 'AMGN': 907092.0521153623, 'PYPL': 164065.34031979158, 'AMZN': 34395.36927106506, 'AAPL': 261350.3841811855, 'NFLX': 924685.9594957815, 'GOOGL': 596002.266126315, 'PEP': 329571.64951395104, 'MSFT': 1023137.4548885353}","[0.11909929, 0.02740848, 0.04140941, 0.00547547, 0.04457794, 0.11637525, 0.25700565, 0.20251407, 0.18613444]","{'NVDA': 576882.557079625, 'AMGN': 132758.73755737153, 'PYPL': 200575.21661170418, 'AMZN': 26521.583641285502, 'AAPL': 215922.64794672205, 'NFLX': 563688.0999892436, 'GOOGL': 1244861.0972452355, 'PEP': 980919.6466385114, 'MSFT': 901581.4132903013}"
"['PYPL', 'AAPL', 'AMGN', 'NVDA', 'GOOG', 'AMZN', 'GOOGL', 'NFLX']",4,"(2018, 7, 12)","(2019, 9, 4)",419,6117239,0.5,0.95,"['PYPL', 'AAPL', 'AMGN', 'GOOG']","[0.27051252, 0.14052087, 0.26751554, 0.32145107]","{'PYPL': 1654789.745984532, 'AAPL': 859599.7260008565, 'AMGN': 1636456.476386101, 'GOOG': 1966393.0516285114}","[0.59479703, 0.05603322, 0.34670115, 0.0024686]","{'PYPL': 3638515.5773610864, 'AAPL': 342768.6031553685, 'AMGN': 2120853.8242931315, 'GOOG': 15100.995190412566}","['PYPL', 'AAPL', 'AMGN', 'GOOG']","[0.27051252, 0.14052087, 0.26751554, 0.32145107]","{'PYPL': 1654789.745984532, 'AAPL': 859599.7260008565, 'AMGN': 1636456.476386101, 'GOOG': 1966393.0516285114}","[0.59479703, 0.05603322, 0.34670115, 0.0024686]","{'PYPL': 3638515.5773610864, 'AAPL': 342768.6031553685, 'AMGN': 2120853.8242931315, 'GOOG': 15100.995190412566}","['PYPL', 'AMGN', 'GOOG', 'AMZN']","[0.27051252, 0.14052087, 0.26751554, 0.32145107]","{'PYPL': 1654789.745984532, 'AAPL': 859599.7260008565, 'AMGN': 1636456.476386101, 'GOOG': 1966393.0516285114}","[0.52545655, 0.46747004, 0.00076393, 0.00630948]","{'PYPL': 3214343.3170029246, 'AMGN': 2859625.9448435497, 'GOOG': 4673.129694857634, 'AMZN': 38596.6084586679}"
"['GOOGL', 'NFLX', 'AMGN', 'NVDA', 'QCOM', 'MSFT', 'PEP', 'AAPL']",4,"(2014, 7, 19)","(2018, 7, 19)",1461,4474266,0.5,0.95,"['NFLX', 'NVDA', 'MSFT', 'AAPL']","[0.27051252, 0.14052087, 0.26751554, 0.32145107]","{'NFLX': 1210344.977138743, 'NVDA': 628727.7361003793, 'MSFT': 1196935.6719222732, 'AAPL': 1438257.614838605}","[0.22430644, 0.6542465, 0.09304324, 0.02840381]","{'NFLX': 1003606.6772374347, 'NVDA': 2927272.8784252256, 'MSFT': 416300.2207316319, 'AAPL': 127086.2236057082}","['NFLX', 'NVDA', 'MSFT', 'AAPL']","[0.27051252, 0.14052087, 0.26751554, 0.32145107]","{'NFLX': 1210344.977138743, 'NVDA': 628727.7361003793, 'MSFT': 1196935.6719222732, 'AAPL': 1438257.614838605}","[0.22430644, 0.6542465, 0.09304324, 0.02840381]","{'NFLX': 1003606.6772374347, 'NVDA': 2927272.8784252256, 'MSFT': 416300.2207316319, 'AAPL': 127086.2236057082}","['GOOGL', 'NFLX', 'NVDA', 'AAPL']","[0.27051252, 0.14052087, 0.26751554, 0.32145107]","{'GOOGL': 1210344.977138743, 'NFLX': 628727.7361003793, 'NVDA': 1196935.6719222732, 'AAPL': 1438257.614838605}","[0.01810022, 0.23320133, 0.69978713, 0.04891132]","{'GOOGL': 80985.20826476256, 'NFLX': 1043404.7609467289, 'NVDA': 3131033.7588242847, 'AAPL': 218842.27196422406}"
"['MSFT', 'NVDA', 'AMGN', 'QCOM', 'NFLX']",1,"(2018, 8, 22)","(2024, 2, 21)",2009,936810,0.5,0.95,['NVDA'],[1.0],{'NVDA': 936810.0},[1.0],{'NVDA': 936810.0},['NVDA'],[1.0],{'NVDA': 936810.0},[1.0],{'NVDA': 936810.0},['NVDA'],[1.0],{'NVDA': 936810.0},[1.0],{'NVDA': 936810.0}
"['GOOGL', 'PEP', 'MSFT', 'NFLX', 'QCOM', 'AAPL', 'PYPL', 'AMGN']",6,"(2022, 6, 12)","(2023, 5, 20)",342,2795386,0.5,0.95,"['GOOGL', 'PEP', 'MSFT', 'NFLX', 'AAPL', 'AMGN']","[0.26981644, 0.07181911, 0.2248937, 0.15122427, 0.11629486, 0.16595162]","{'GOOGL': 754241.1004081281, 'PEP': 200762.13098580448, 'MSFT': 628664.6920526181, 'NFLX': 422730.2149313188, 'AAPL': 325089.0263023266, 'AMGN': 463898.8353198039}","[0.02691759, 0.53382223, 0.01542651, 0.23111678, 0.13644073, 0.05627617]","{'GOOGL': 75245.04674525418, 'PEP': 1492239.1831793727, 'MSFT': 43123.04496637926, 'NFLX': 646060.6019432654, 'AAPL': 381404.5150967439, 'AMGN': 157313.60806898447}","['GOOGL', 'PEP', 'MSFT', 'NFLX', 'AAPL', 'AMGN']","[0.26981644, 0.07181911, 0.2248937, 0.15122427, 0.11629486, 0.16595162]","{'GOOGL': 754241.1004081281, 'PEP': 200762.13098580448, 'MSFT': 628664.6920526181, 'NFLX': 422730.2149313188, 'AAPL': 325089.0263023266, 'AMGN': 463898.8353198039}","[0.02691759, 0.53382223, 0.01542651, 0.23111678, 0.13644073, 0.05627617]","{'GOOGL': 75245.04674525418, 'PEP': 1492239.1831793727, 'MSFT': 43123.04496637926, 'NFLX': 646060.6019432654, 'AAPL': 381404.5150967439, 'AMGN': 157313.60806898447}","['GOOGL', 'PEP', 'MSFT', 'NFLX', 'AAPL', 'AMGN']","[0.26981644, 0.07181911, 0.2248937, 0.15122427, 0.11629486, 0.16595162]","{'GOOGL': 754241.1004081281, 'PEP': 200762.13098580448, 'MSFT': 628664.6920526181, 'NFLX': 422730.2149313188, 'QCOM': 325089.0263023266, 'AAPL': 463898.8353198039}","[0.02691759, 0.53382223, 0.01542651, 0.23111678, 0.13644073, 0.05627617]","{'GOOGL': 75245.04674525418, 'PEP': 1492239.1831793727, 'MSFT': 43123.04496637926, 'NFLX': 646060.6019432654, 'AAPL': 381404.5150967439, 'AMGN': 157313.60806898447}"
"['AMZN', 'GOOG', 'PYPL', 'PEP', 'QCOM', 'NVDA', 'AMGN', 'AAPL', 'GOOGL', 'MSFT']",2,"(2017, 7, 16)","(2021, 9, 14)",1521,3144677,0.5,0.95,"['PYPL', 'NVDA']","[0.60708412, 0.39291588]","{'PYPL': 1909083.4763160683, 'NVDA': 1235593.5236839314}","[0.74474035, 0.25525965]","{'PYPL': 2341967.8539141705, 'NVDA': 802709.1460858295}","['PYPL', 'NVDA']","[0.60708412, 0.39291588]","{'PYPL': 1909083.4763160683, 'NVDA': 1235593.5236839314}","[0.74474035, 0.25525965]","{'PYPL': 2341967.8539141705, 'NVDA': 802709.1460858295}","['PYPL', 'GOOGL']","[0.60708412, 0.39291588]","{'AMZN': 1909083.4763160683, 'NVDA': 1235593.5236839314}","[0.59356754, 0.40643246]","{'PYPL': 1866578.183492506, 'GOOGL': 1278098.8165074943}"
"['PEP', 'PYPL', 'AMGN', 'GOOGL', 'AAPL']",1,"(2017, 7, 28)","(2023, 1, 17)",1999,8687191,0.5,0.95,['AAPL'],[1.0],{'AAPL': 8687191.0},[1.0],{'AAPL': 8687191.0},['AAPL'],[1.0],{'AAPL': 8687191.0},[1.0],{'AAPL': 8687191.0},['AAPL'],[1.0],{'AAPL': 8687191.0},[1.0],{'AAPL': 8687191.0}
"['QCOM', 'NVDA', 'AMGN', 'PYPL', 'PEP', 'MSFT', 'GOOG', 'NFLX']",4,"(2016, 12, 28)","(2024, 5, 28)",2708,1467799,0.5,0.95,"['NVDA', 'AMGN', 'MSFT', 'NFLX']","[0.27051252141440474, 0.14052086668525726, 0.26751553705619496, 0.32145107484414315]","{'NVDA': 397058.0084195419, 'AMGN': 206256.3875997539, 'MSFT': 392659.0377755459, 'NFLX': 471825.5662051585}","[0.31355660946639075, 0.12775712220722027, 0.5582574458720495, 0.00042882245433944945]","{'NVDA': 460238.0778181589, 'AMGN': 187521.7762186357, 'MSFT': 819409.7207935484, 'NFLX': 629.4251696569896}","['NVDA', 'AMGN', 'MSFT', 'NFLX']","[0.27051252141440474, 0.14052086668525726, 0.26751553705619496, 0.32145107484414315]","{'NVDA': 397058.0084195419, 'AMGN': 206256.3875997539, 'MSFT': 392659.0377755459, 'NFLX': 471825.5662051585}","[0.31355660946639075, 0.12775712220722027, 0.5582574458720495, 0.00042882245433944945]","{'NVDA': 460238.0778181589, 'AMGN': 187521.7762186357, 'MSFT': 819409.7207935484, 'NFLX': 629.4251696569896}","['NVDA', 'AMGN', 'MSFT', 'NFLX']","[0.27051252141440474, 0.14052086668525726, 0.26751553705619496, 0.32145107484414315]","{'NVDA': 397058.0084195419, 'AMGN': 206256.3875997539, 'PEP': 392659.0377755459, 'NFLX': 471825.5662051585}","[0.31355660946639075, 0.12775712220722027, 0.5582574458720495, 0.00042882245433944945]","{'NVDA': 460238.0778181589, 'AMGN': 187521.7762186357, 'MSFT': 819409.7207935484, 'NFLX': 629.4251696569896}"
